1900,1,22,Asama,Honshu-Japan,Japan,Complex volcano
1900,2,16,Kirishima,Kyushu-Japan,Japan,Shield volcano
1900,7,17,Adatara,Honshu-Japan,Japan,Stratovolcano
1900,nan,nan,Tullu Moje,Africa-NE,Ethiopia,Pumice cone
1901,5,22,Kelut,Java,Indonesia,Stratovolcano
1901,8,9,Epi,Vanuatu-SW Pacific,Vanuatu,Stratovolcano
1902,5,5,Pelee,W Indies,Martinique,Stratovolcano
1902,5,7,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,Stratovolcano
1902,5,8,Pelee,W Indies,Martinique,Stratovolcano
1902,5,20,Pelee,W Indies,Martinique,Stratovolcano
1902,8,7,Tori-shima,Izu Is-Japan,Japan,Stratovolcano
1902,8,30,Pelee,W Indies,Martinique,Stratovolcano
1902,10,25,Santa Maria,Guatemala,Guatemala,Stratovolcano
1902,12,nan,Merapi,Java,Indonesia,Stratovolcano
1903,8,30,Okataina,New Zealand,New Zealand,Lava dome
1903,nan,nan,Karthala,Indian O-W,Comoros,Shield volcano
1904,2,25,Karthala,Indian O-W,Comoros,Shield volcano
1905,3,10,Vesuvius,Italy,Italy,Complex volcano
1905,8,4,Savai'i,Samoa-SW Pacific,Samoa,Shield volcano
1906,4,4,Vesuvius,Italy,Italy,Complex volcano
1907,7,nan,Unnamed,Tonga-SW Pacific,Tonga,Submarine volcano
1907,8,4,Alayta,Africa-NE,Ethiopia,Shield volcano
1907,9,28,Lewotobi,Lesser Sunda Is,Indonesia,Stratovolcano
1907,10,6,Savai'i,Samoa-SW Pacific,Samoa,Shield volcano
1909,4,28,"Cameroon, Mt.",Africa-W,Cameroon,Stratovolcano
1909,9,nan,Semeru,Java,Indonesia,Stratovolcano
1910,3,20,Taupo,New Zealand,New Zealand,Caldera
1910,7,25,Usu,Hokkaido-Japan,Japan,Stratovolcano
1911,1,30,Taal,Luzon-Philippines,Philippines,Stratovolcano
1911,5,8,Asama,Honshu-Japan,Japan,Complex volcano
1911,8,15,Asama,Honshu-Japan,Japan,Complex volcano
1911,11,3,Piparo,Trinidad,Trinidad ,Mud volcano
1911,11,8,Semeru,Java,Indonesia,Stratovolcano
1912,9,6,Novarupta,Alaska Peninsula,United States,Caldera
1912,12,3,Nyamuragira,Africa-C,"Congo, DRC",Shield volcano
1913,1,20,Colima,Mexico,Mexico,Stratovolcano
1913,3,14,Awu,Sangihe Is-Indonesia,Indonesia,Stratovolcano
1913,5,29,Asama,Honshu-Japan,Japan,Complex volcano
1913,6,23,Semeru,Java,Indonesia,Stratovolcano
1913,12,6,Ambrym,Vanuatu-SW Pacific,Vanuatu,Pyroclastic shield
1914,1,12,Sakura-jima,Kyushu-Japan,Japan,Stratovolcano
1914,1,18,Pago,New Britain-SW Pac,Papua New Guinea,Caldera
1914,9,10,White Island,New Zealand,New Zealand,Stratovolcano
1914,nan,nan,Aoba,Vanuatu-SW Pacific,Vanuatu,Shield volcano
1916,3,3,Tungurahua,Ecuador,Ecuador,Stratovolcano
1916,7,3,Stromboli,Italy,Italy,Stratovolcano
1917,1,1,"Lengai, Ol Doinyo",Africa-E,Tanzania,Stratovolcano
1917,4,1,Okataina,New Zealand,New Zealand,Lava dome
1917,4,nan,Calbuco,Chile-S,Chile,Stratovolcano
1917,6,7,San Salvador,El Salvador,El Salvador,Stratovolcano
1918,7,18,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,Submarine volcano
1918,10,12,Katla,Iceland-S,Iceland,Subglacial volcano
1919,2,19,Popocatepetl,Mexico,Mexico,Stratovolcano
1919,4,3,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,Submarine volcano
1919,5,19,Kelut,Java,Indonesia,Stratovolcano
1919,5,22,Stromboli,Italy,Italy,Stratovolcano
1919,7,6,Nasu,Honshu-Japan,Japan,Stratovolcano
1919,9,29,Mauna Loa,Hawaiian Is,United States,Shield volcano
1920,7,25,Merapi,Java,Indonesia,Stratovolcano
1920,10,29,Izalco,El Salvador,El Salvador,Stratovolcano
1921,11,26,Nasu,Honshu-Japan,Japan,Stratovolcano
1923,3,2,"Cendres, Ile des",SE Asia,Vietnam,Submarine volcanoes
1923,3,11,Papandayan,Java,Indonesia,Stratovolcano
1923,6,nan,Tangkubanparahu,Java,Indonesia,Stratovolcano
1923,7,1,Kirishima,Kyushu-Japan,Japan,Shield volcano
1924,5,10,Kilauea,Hawaiian Is,United States,Shield volcano
1926,5,24,Tokachi,Hokkaido-Japan,Japan,Stratovolcano
1927,8,7,Paluweh,Lesser Sunda Is,Indonesia,Stratovolcano
1927,9,5,Esjufjoll,Iceland-SE,Iceland,Stratovolcano
1928,1,23,Santorini,Greece,Greece,Shield volcano
1928,1,nan,Mayon,Luzon-Philippines,Philippines,Stratovolcano
1928,3,28,Krakatau,Indonesia,Indonesia,Caldera
1928,5,13,Dieng Volc Complex,Java,Indonesia,Complex volcano
1928,8,4,Paluweh,Lesser Sunda Is,Indonesia,Stratovolcano
1928,11,2,Etna,Italy,Italy,Stratovolcano
1929,1,6,Calbuco,Chile-S,Chile,Stratovolcano
1929,6,17,Komaga-take,Hokkaido-Japan,Japan,Stratovolcano
1929,8,2,Etna,Italy,Italy,Stratovolcano
1929,11,2,Santa Maria,Guatemala,Guatemala,Stratovolcano
1930,3,17,Krakatau,Indonesia,Indonesia,Caldera
1930,8,20,Asama,Honshu-Japan,Japan,Complex volcano
1930,9,11,Stromboli,Italy,Italy,Stratovolcano
1930,12,18,Merapi,Java,Indonesia,Stratovolcano
1931,8,20,Asama,Honshu-Japan,Japan,Complex volcano
1932,1,21,Fuego,Guatemala,Guatemala,Stratovolcano
1932,2,nan,Merapi,Java,Indonesia,Stratovolcano
1932,10,1,Kusatsu-Shirane,Honshu-Japan,Japan,Stratovolcano
1933,1,8,Kharimkotan,Kuril Is,Russia,Stratovolcano
1933,5,10,Hakone,Honshu-Japan,Japan,Complex volcano
1933,12,24,Kuchinoerabu-jima,Ryukyu Is,Japan,Stratovolcano
1933,12,25,Bulusan,Luzon-Philippines,Philippines,Stratovolcano
1934,nan,nan,Hood,US-Oregon,United States,Stratovolcano
1936,2,nan,Asama,Honshu-Japan,Japan,Complex volcano
1937,2,9,Llaima,Chile-C,Chile,Stratovolcano
1937,5,29,Rabaul,New Britain-SW Pac,Papua New Guinea,Pyroclastic shield
1938,1,28,Nyamuragira,Africa-C,"Congo, DRC",Shield volcano
1938,5,9,Bandai,Honshu-Japan,Japan,Stratovolcano
1938,6,5,Mayon,Luzon-Philippines,Philippines,Stratovolcano
1938,7,16,Asama,Honshu-Japan,Japan,Complex volcano
1939,7,24,Kick-'em-Jenny,W Indies,Netherlands,Submarine volcano
1939,8,17,Tori-shima,Izu Is-Japan,Japan,Stratovolcano
1939,10,13,Dieng Volc Complex,Java,Indonesia,Complex volcano
1940,6,20,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,Stratovolcano
1940,7,12,Miyake-jima,Izu Is-Japan,Japan,Stratovolcano
1940,7,24,"Lengai, Ol Doinyo",Africa-E,Tanzania,Stratovolcano
1941,7,13,Asama,Honshu-Japan,Japan,Complex volcano
